Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mean_tries,success_rate,hard_mode_pct,year,month,day,weekday,word_len
2022-12-31,560.0,manly,20380.0,1899.0,0.0,0.02,0.17,0.37,0.29,0.12,0.02,4.383838383838383,0.9700000000000001,0.09317958783120707,2022,12,31,5,5
2022-12-30,559.0,molar,21204.0,1973.0,0.0,0.04,0.21,0.38,0.26,0.09,0.01,4.1818181818181825,0.98,0.09304848141860027,2022,12,30,4,5
2022-12-29,558.0,havoc,20001.0,1919.0,0.0,0.02,0.16,0.38,0.3,0.12,0.02,4.3999999999999995,0.9800000000000001,0.09594520273986301,2022,12,29,3,5
2022-12-28,557.0,impel,20160.0,1937.0,0.0,0.03,0.21,0.4,0.25,0.09,0.01,4.191919191919192,0.98,0.09608134920634921,2022,12,28,2,5
2022-12-27,556.0,condo,20879.0,2012.0,0.0,0.02,0.17,0.35,0.29,0.14,0.03,4.45,0.9700000000000001,0.09636476842760669,2022,12,27,1,5
2022-12-26,555.0,judge,20011.0,2043.0,0.0,0.02,0.08,0.16,0.26,0.33,0.14,5.232323232323232,0.8500000000000001,0.10209384838338914,2022,12,26,0,5
2022-12-25,554.0,extra,15554.0,1562.0,0.01,0.05,0.2,0.35,0.28,0.1,0.01,4.18,0.99,0.10042432814710042,2022,12,25,6,5
2022-12-24,553.0,poise,20281.0,1911.0,0.02,0.11,0.34,0.32,0.15,0.06,0.01,3.683168316831683,1.0,0.09422612297224003,2022,12,24,5,5
2022-12-23,552.0,aorta,21937.0,2112.0,0.0,0.07,0.26,0.35,0.2,0.1,0.03,4.08910891089109,0.9799999999999999,0.09627569859142089,2022,12,23,4,5
2022-12-22,551.0,excel,20490.0,2034.0,0.0,0.01,0.13,0.34,0.34,0.15,0.02,4.5555555555555545,0.9700000000000001,0.0992679355783309,2022,12,22,3,5
2022-12-21,550.0,lunar,22180.0,2036.0,0.0,0.05,0.32,0.4,0.17,0.04,0.0,3.8265306122448974,0.9800000000000001,0.09179440937781785,2022,12,21,2,5
2022-12-20,549.0,third,24137.0,2261.0,0.01,0.1,0.47,0.32,0.09,0.02,0.0,3.435643564356436,1.0099999999999998,0.09367361312507769,2022,12,20,1,5
2022-12-19,548.0,slate,26010.0,2422.0,0.06,0.14,0.33,0.27,0.13,0.05,0.01,3.4646464646464645,0.9800000000000001,0.09311803152633602,2022,12,19,0,5
2022-12-18,547.0,taper,22166.0,2108.0,0.0,0.08,0.28,0.3,0.2,0.11,0.03,4.07,0.9700000000000001,0.09510060452945954,2022,12,18,6,5
2022-12-17,546.0,chord,22336.0,2088.0,0.0,0.07,0.39,0.38,0.13,0.03,0.0,3.66,1.0,0.09348137535816618,2022,12,17,5,5
2022-12-16,545.0,rprobe,22853.0,2160.0,0.0,0.06,0.24,0.32,0.24,0.11,0.03,4.19,0.97,0.09451713123003544,2022,12,16,4,6
2022-12-15,544.0,rival,22176.0,2127.0,0.0,0.07,0.27,0.35,0.22,0.08,0.01,4.000000000000001,0.9899999999999999,0.09591450216450216,2022,12,15,3,5
2022-12-14,543.0,usual,20824.0,2048.0,0.0,0.03,0.2,0.39,0.27,0.1,0.01,4.24,0.99,0.09834805993084902,2022,12,14,2,5
2022-12-13,542.0,spoke,24101.0,2224.0,0.0,0.06,0.31,0.38,0.19,0.05,0.0,3.858585858585858,0.99,0.09227832870005394,2022,12,13,1,5
2022-12-12,541.0,apply,22873.0,2150.0,0.0,0.05,0.28,0.38,0.22,0.07,0.01,4.00990099009901,1.0,0.09399728938049229,2022,12,12,0,5
2022-12-11,540.0,naïve,21947.0,2075.0,0.01,0.07,0.24,0.32,0.24,0.11,0.01,4.08,0.99,0.0945459516106985,2022,12,11,6,5
2022-12-10,539.0,knock,21157.0,2041.0,0.0,0.03,0.18,0.43,0.27,0.08,0.01,4.220000000000001,0.99,0.09646925367490665,2022,12,10,5,5
2022-12-09,538.0,braid,23640.0,2165.0,0.0,0.1,0.36,0.35,0.14,0.03,0.0,3.63265306122449,0.98,0.09158206429780034,2022,12,9,4,5
2022-12-08,537.0,infer,21199.0,1863.0,0.0,0.03,0.19,0.33,0.26,0.14,0.03,4.387755102040816,0.9500000000000001,0.08788150384452097,2022,12,8,3,5
2022-12-07,536.0,joust,24899.0,2388.0,0.0,0.06,0.29,0.34,0.21,0.08,0.02,4.020000000000001,0.9799999999999999,0.09590746616329973,2022,12,7,2,5
2022-12-06,535.0,amber,23509.0,2261.0,0.0,0.06,0.22,0.33,0.24,0.12,0.03,4.2299999999999995,0.9700000000000001,0.09617593262154919,2022,12,6,1,5
2022-12-05,534.0,woken,23153.0,2200.0,0.0,0.02,0.1,0.25,0.36,0.23,0.04,4.8,0.96,0.09502008379043753,2022,12,5,0,5
2022-12-04,533.0,adore,25577.0,2398.0,0.02,0.17,0.32,0.29,0.15,0.05,0.01,3.5643564356435644,1.0,0.09375610900418345,2022,12,4,6,5
2022-12-03,532.0,torso,23873.0,2260.0,0.0,0.04,0.35,0.36,0.17,0.06,0.01,3.8888888888888884,0.98,0.09466761613538306,2022,12,3,5,5
2022-12-02,531.0,chafe,24646.0,2343.0,0.0,0.06,0.3,0.33,0.19,0.09,0.02,4.01010101010101,0.9699999999999999,0.09506613649273715,2022,12,2,4,5
2022-12-01,530.0,eject,22628.0,2200.0,0.0,0.02,0.11,0.35,0.36,0.14,0.02,4.55,0.98,0.0972246773908432,2022,12,1,3,5
2022-11-30,529.0,study,2569.0,2405.0,0.0,0.06,0.3,0.33,0.19,0.1,0.02,4.030000000000001,0.9799999999999999,0.9361619307123394,2022,11,30,2,5
2022-11-29,528.0,undue,23739.0,2316.0,0.0,0.03,0.19,0.35,0.29,0.13,0.02,4.356435643564358,0.9899999999999999,0.0975609756097561,2022,11,29,1,5
2022-11-28,527.0,tepid,26051.0,2484.0,0.0,0.1,0.38,0.35,0.13,0.03,0.0,3.6060606060606064,0.99,0.09535142604890408,2022,11,28,0,5
2022-11-27,526.0,happy,25206.0,2356.0,0.0,0.06,0.28,0.39,0.19,0.06,0.01,3.939393939393939,0.98,0.09346980877568833,2022,11,27,6,5
2022-11-26,525.0,clen,26381.0,2424.0,0.01,0.17,0.36,0.31,0.12,0.03,0.0,3.45,1.0,0.09188431067813957,2022,11,26,5,4
2022-11-25,524.0,itchy,24197.0,2329.0,0.0,0.08,0.28,0.4,0.18,0.05,0.01,3.8699999999999997,0.99,0.09625160143819482,2022,11,25,4,5
2022-11-24,523.0,feast,27705.0,2725.0,0.05,0.13,0.25,0.27,0.19,0.1,0.02,3.792079207920793,0.9899999999999999,0.09835769716657643,2022,11,24,3,5
2022-11-23,522.0,drive,26663.0,2451.0,0.01,0.12,0.32,0.3,0.18,0.06,0.01,3.7399999999999998,0.99,0.09192513970670967,2022,11,23,2,5
2022-11-22,521.0,prime,27437.0,2534.0,0.01,0.1,0.26,0.32,0.21,0.09,0.01,3.9300000000000006,0.9899999999999999,0.09235703611910923,2022,11,22,1,5
2022-11-21,520.0,axiom,24288.0,2382.0,0.0,0.05,0.19,0.33,0.27,0.13,0.03,4.33,0.9700000000000001,0.09807312252964427,2022,11,21,0,5
2022-11-20,519.0,brave,24991.0,2396.0,0.01,0.06,0.17,0.27,0.27,0.18,0.05,4.455445544554456,0.96,0.09587451482533713,2022,11,20,6,5
2022-11-19,518.0,avert,24749.0,2400.0,0.0,0.07,0.26,0.35,0.22,0.09,0.01,4.030000000000001,0.9899999999999999,0.09697361509555942,2022,11,19,5,5
2022-11-18,517.0,glyph,29208.0,2899.0,0.0,0.02,0.23,0.49,0.2,0.05,0.01,4.0600000000000005,0.99,0.09925362914270063,2022,11,18,4,5
2022-11-17,516.0,there,27465.0,2530.0,0.0,0.14,0.35,0.33,0.14,0.04,0.0,3.59,1.0,0.09211724012379392,2022,11,17,3,5
2022-11-16,515.0,baker,25576.0,2541.0,0.0,0.05,0.16,0.23,0.24,0.22,0.1,4.720000000000001,0.9,0.09935095401939319,2022,11,16,2,5
2022-11-15,514.0,snarl,27475.0,2650.0,0.0,0.05,0.21,0.31,0.24,0.15,0.04,4.3500000000000005,0.9600000000000001,0.09645131938125569,2022,11,15,1,5
2022-11-14,513.0,maple,26536.0,2467.0,0.01,0.06,0.26,0.36,0.21,0.08,0.01,3.9898989898989905,0.9799999999999999,0.09296804341272234,2022,11,14,0,5
2022-11-13,512.0,inane,25085.0,2515.0,0.0,0.08,0.25,0.3,0.21,0.13,0.03,4.15,0.97,0.10025911899541559,2022,11,13,6,5
2022-11-12,511.0,valet,24660.0,2356.0,0.0,0.04,0.22,0.38,0.25,0.09,0.01,4.161616161616162,0.98,0.09553933495539335,2022,11,12,5,5
2022-11-11,510.0,medal,25993.0,2438.0,0.0,0.05,0.25,0.38,0.23,0.08,0.01,4.070000000000001,0.9899999999999999,0.09379448313007348,2022,11,11,4,5
